,carat,cut,cut_ord,color,clarity,clarity_ord,Price,RECAP Price,,,,
2244,3.01,Good,2,I,SI2,2,"21,278.33",21278.33,,,,
1117,3.01,Fair,1,H,I1,1,"20,666.23",20666.23,,,,
771,3,Very Good,3,H,I1,1,"20,898.30",20898.3,,,,
1074,2.74,Very Good,3,J,SI2,2,"19,164.92",19164.92,,,,
2059,2.63,Ideal,5,J,SI2,2,"18,555.69",18555.69,,,,
2291,2.59,Ideal,5,J,VS1,4,"19,127.17",19127.17,,,,
1820,2.56,Good,2,J,SI2,2,"17,492.48",17492.48,,,,
1809,2.53,Premium,4,H,SI2,2,"17,556.29",17556.29,,,,
2507,2.53,Premium,4,H,SI1,3,"18,010.29",18010.29,,,,
2058,2.51,Very Good,3,I,SI2,2,"17,229.93",17229.93,,,,
79,2.5,Good,2,J,VS2,5,"18,349.70",18349.7,,,,
2248,2.48,Premium,4,I,SI1,3,"17,589.64",17589.64,,,,
813,2.48,Very Good,3,F,SI2,2,"16,977.54",16977.54,,,,
1756,2.41,Premium,4,H,SI2,2,"16,546.73",16546.73,,,,
1351,2.4,Fair,1,J,SI2,2,"15,988.30",15988.3,,,,
2283,2.39,Very Good,3,J,VS1,4,"17,128.37",17128.37,,,,
1340,2.38,Premium,4,H,SI1,3,"16,748.34",16748.34,,,,
895,2.37,Ideal,5,J,VS2,5,"17,730.31",17730.31,,,,
1944,2.36,Premium,4,H,SI2,2,"16,126.08",16126.08,,,,
846,2.35,Premium,4,I,SI2,2,"16,041.95",16041.95,,,,
2382,2.33,Ideal,5,I,VS2,5,"17,393.79",17393.79,,,,
2819,2.33,Very Good,3,H,SI2,2,"15,715.59",15715.59,,,,
658,2.32,Fair,1,H,SI1,3,"15,769.26",15769.26,,,,
1530,2.29,Premium,4,G,SI2,2,"15,537.17",15537.17,,,,
1553,2.29,Premium,4,G,SI2,2,"15,537.17",15537.17,,,,
1208,2.28,Ideal,5,I,SI2,2,"15,611.14",15611.14,,,,
1933,2.28,Premium,4,H,SI2,2,"15,453.04",15453.04,,,,
2959,2.28,Premium,4,H,SI2,2,"15,453.04",15453.04,,,,
2077,2.26,Ideal,5,I,SI2,2,"15,442.88",15442.88,,,,
43,2.26,Very Good,3,D,SI2,2,"15,126.68",15126.68,,,,
359,2.25,Ideal,5,I,SI2,2,"15,358.75",15358.75,,,,
656,2.24,Ideal,5,I,SI2,2,"15,274.62",15274.62,,,,
2773,2.23,Premium,4,J,VS2,5,"16,394.39",16394.39,,,,
2362,2.22,Ideal,5,I,VS2,5,"16,468.36",16468.36,,,,
1275,2.21,Premium,4,G,SI2,2,"14,864.13",14864.13,,,,
1338,2.2,Premium,4,J,VS1,4,"15,688.00",15688,,,,
1186,2.19,Premium,4,J,SI2,2,"14,695.87",14695.87,,,,
2872,2.18,Premium,4,J,SI2,2,"14,611.74",14611.74,,,,
451,2.17,Very Good,3,H,SI2,2,"14,369.51",14369.51,,,,
1998,2.16,Ideal,5,I,SI2,2,"14,601.58",14601.58,,,,
1230,2.16,Very Good,3,H,SI2,2,"14,285.38",14285.38,,,,
1518,2.15,Ideal,5,I,SI2,2,"14,517.45",14517.45,,,,
